headline,link
,
Show HN: AI color palette generator for Tailwindcss,https://tailwind.ink/
,
"Elixir Is Erlang, not Ruby",https://preslav.me/2020/09/06/elixir-is-not-ruby-elixir-is-erlang/
,
International Space Station 437.800 MHz cross band FM repeater activated,https://amsat-uk.org/2020/09/02/iss-fm-repeater-activated/
,
Noita – roguelite where every pixel is simulated,https://noitagame.com/
,
Geometric Algebra for Python,https://github.com/pygae/clifford
,
Introduction to Computational Thinking,https://mitmath.github.io/18S191/Fall20/
,
PostgreSQL B-Tree index deduplication,https://blog.rustprooflabs.com/2020/09/postgres-beta3-btree-dedup
,
A floppy-disk Walkman using a Raspberry Pi,https://shkspr.mobi/blog/2020/09/a-floppy-disk-mp3-player-using-a-raspberry-pi/
,
Cozy is a modern audiobook player for Linux and macOS,https://github.com/geigi/cozy
,
NASA’s InSight detects Phobos using its seismometer during solar eclipses,https://ethz.ch/en/news-and-events/eth-news/news/2020/09/surprise-on-mars.html
,
Woman hatches ducks from Waitrose eggs,https://www.bbc.com/news/uk-england-beds-bucks-herts-52838747
,
Please stop calling databases CP or AP (2015),https://martin.kleppmann.com/2015/05/11/please-stop-calling-databases-cp-or-ap.html
,
Hash Array Mapped Tries (HAMT) to the Rescue,https://adlrocha.substack.com/p/adlrocha-hash-array-mapped-tries
,
FlauBERT and Flue: French Bert,https://github.com/getalp/Flaubert
,
Pregnancy Test Doom: Doom running on a pregnancy test,https://twitter.com/Foone/status/1302820468819288066
,
Warrior skeletons reveal Bronze Age Europeans couldn’t drink milk,https://www.sciencemag.org/news/2020/09/warrior-skeletons-reveal-bronze-age-europeans-couldn-t-drink-milk
,
Compressionism: A Theory of Mind Based on Data Compression [pdf],http://ceur-ws.org/Vol-1419/paper0045.pdf
,
Companies that help people vanish,https://www.bbc.com/worklife/article/20200903-the-companies-that-help-people-vanish
,
Ask HN: Google Drive/Office 365 alternatives,item?id=24398343
,
The Trials of Psychedelic Therapy,https://psypressuk.com/2020/01/31/psychedelic-therapy-oram/
,
Things I Learned to Become a Senior Software Engineer,https://neilkakkar.com/things-I-learned-to-become-a-senior-software-engineer.html
,
The Right to Repair could help address a critical shortage in school computers,https://uspirg.org/blogs/blog/usp/right-repair-could-help-address-critical-shortage-school-computers#new_tab
,
"Solar eclipse measured on Mars, affects interior",https://phys.org/news/2020-09-solar-eclipse-mars-affects-interior.html
,
Attention is your scarcest resource,https://www.benkuhn.net/attention/
,
Common color mistakes and how to avoid them,https://blog.datawrapper.de/beautifulcolors/
,
Pashi (YC W20) is hiring a mobile web app developer in India,item?id=24395894
,
One step beyond: the ascent of mountain runner Kílian Jornet,https://www.theguardian.com/lifeandstyle/2020/sep/06/one-step-beyond-the-ascent-of-mountain-runner-kilian-jornet
,
'Super bacteria' survives for three years outside space station [video],https://www.bbc.com/news/av/science-environment-54029521
,
"“At 31, I have just weeks to live. Here's what I want to pass on”",https://www.theguardian.com/commentisfree/2020/sep/07/terminal-cancer-live-cancer-life-death
,
The economics of the Tour de France,https://thehustle.co/the-economics-of-the-tour-de-france/
,
